month,category,total_amount
2022-03,Wage,6402719.834740328
2022-03,Shelter,-1162645.2640903236
2022-03,Education,-28707.6796729452
2022-03,RentAdjustment,53503.48784577815
2022-03,Food,-327843.14335884043
2022-03,Recreation,-649590.7184854008
2022-04,Shelter,-559918.5722960259
2022-04,Education,-11423.437130106598
2022-04,Food,-304297.0614543376
2022-04,Recreation,-389694.8756786749
2022-04,Wage,3468756.2166868034
2022-04,RentAdjustment,1429.2443503313718
2022-05,Shelter,-558450.7112952595
2022-05,Education,-11423.437130106598
2022-05,Food,-313555.6300104901
2022-05,Recreation,-336418.1463940478
2022-05,Wage,3623067.5815020087
2022-06,Shelter,-558450.7112952595
2022-06,Education,-11423.437130106598
2022-06,Food,-302909.1965790697
2022-06,Recreation,-314808.29074197443
2022-06,Wage,3608882.6142197293
2022-07,Shelter,-558450.7112952595
2022-07,Education,-11423.437130106598
2022-07,Food,-313819.36000181024
2022-07,Recreation,-329613.1868180698
2022-07,Wage,3485798.9810389
2022-08,Shelter,-558450.7112952595
2022-08,Education,-11423.437130106598
2022-08,Food,-312841.33024908934
2022-08,Recreation,-306962.55118896207
2022-08,Wage,3763807.4136348027
2022-09,Shelter,-558450.7112952595
2022-09,Education,-11423.437130106598
2022-09,Food,-302878.06881529326
2022-09,Recreation,-301910.31943172275
2022-09,Wage,3610503.5729070287
2022-10,Shelter,-558450.7112952595
2022-10,Education,-11423.437130106598
2022-10,Food,-313577.26832210633
2022-10,Recreation,-326722.2715642175
2022-10,Wage,3483352.19862169
2022-11,Shelter,-558450.7112952595
2022-11,Education,-11423.437130106598
2022-11,Food,-302847.138975966
2022-11,Recreation,-288290.48475781706
2022-11,Wage,3607155.936914444
2022-12,Shelter,-558450.7112952595
2022-12,Education,-11423.437130106598
2022-12,Food,-313102.79693962215
2022-12,Recreation,-316620.83735792985
2022-12,Wage,3627931.749388736
2023-01,Shelter,-558450.7112952595
2023-01,Education,-11423.437130106598
2023-01,Food,-313271.96509557456
2023-01,Recreation,-311579.8080024505
2023-01,Wage,3623060.9852745505
2023-02,Shelter,-558450.7112952595
2023-02,Education,-11423.437130106598
2023-02,Food,-282477.88138446305
2023-02,Recreation,-271126.5449841998
2023-02,Wage,3292643.3313525342
2023-03,Shelter,-558450.7112952595
2023-03,Education,-11423.437130106598
2023-03,Food,-312974.46741214074
2023-03,Recreation,-295210.4185932266
2023-03,Wage,3767956.4253736655
2023-04,Shelter,-558450.7112952595
2023-04,Education,-11423.437130106598
2023-04,Food,-303816.8863606219
2023-04,Recreation,-310294.3416495412
2023-04,Wage,3326739.013871159
2023-05,Shelter,-558450.7112952595
2023-05,Education,-11423.437130106598
2023-05,Food,-242305.63714042466
2023-05,Recreation,-224251.50801820046
2023-05,Wage,2940645.9805385415
