month,category,total_amount
2022-03,Wage,1666499.9461100905
2022-03,Shelter,-243865.35793409054
2022-03,Education,-4462.1075616408625
2022-03,RentAdjustment,10866.687195853108
2022-03,Food,-64034.86407198852
2022-03,Recreation,-130366.21027185644
2022-04,Shelter,-116931.81369397457
2022-04,Education,-2231.0537808204317
2022-04,Recreation,-75844.25217190533
2022-04,Food,-60889.122679421154
2022-04,Wage,985483.0827006849
2022-05,Shelter,-116931.81369397457
2022-05,Education,-2231.0537808204317
2022-05,Food,-62429.252562749614
2022-05,Recreation,-65035.678320655745
2022-05,Wage,1032609.6852929429
2022-06,Shelter,-116931.81369397457
2022-06,Education,-2231.0537808204317
2022-06,Food,-60346.52773741679
2022-06,Recreation,-61679.73283671749
2022-06,Wage,1031174.3587688282
2022-07,Shelter,-116931.81369397457
2022-07,Education,-2231.0537808204317
2022-07,Food,-62513.7461332258
2022-07,Recreation,-61721.89367304019
2022-07,Wage,987131.1534008082
2022-08,Shelter,-116931.81369397457
2022-08,Education,-2231.0537808204317
2022-08,Food,-62337.241493805086
2022-08,Recreation,-56488.203558817986
2022-08,Wage,1077175.3008008958
2022-09,Shelter,-116931.81369397457
2022-09,Education,-2231.0537808204317
2022-09,Food,-60399.770412783066
2022-09,Recreation,-57100.25051601674
2022-09,Wage,1031167.1518571866
2022-10,Shelter,-116931.81369397457
2022-10,Education,-2231.0537808204317
2022-10,Food,-62596.22934148269
2022-10,Recreation,-62984.03679748763
2022-10,Wage,987602.2763726457
2022-11,Shelter,-116931.81369397457
2022-11,Education,-2231.0537808204317
2022-11,Food,-60383.56293324403
2022-11,Recreation,-54381.65189258102
2022-11,Wage,1030499.7041600188
2022-12,Shelter,-116931.81369397457
2022-12,Education,-2231.0537808204317
2022-12,Food,-62345.71568897004
2022-12,Recreation,-60468.80313435051
2022-12,Wage,1032216.8866726339
2023-01,Shelter,-116931.81369397457
2023-01,Education,-2231.0537808204317
2023-01,Food,-62518.927076765154
2023-01,Recreation,-60325.94502697952
2023-01,Wage,1032614.2723749849
2023-02,Shelter,-116931.81369397457
2023-02,Education,-2231.0537808204317
2023-02,Food,-56334.68972036229
2023-02,Recreation,-51943.03129413035
2023-02,Wage,938241.8746302087
2023-03,Shelter,-116931.81369397457
2023-03,Education,-2231.0537808204317
2023-03,Food,-62312.04364302909
2023-03,Recreation,-54037.647777391445
2023-03,Wage,1077382.8832133126
2023-04,Shelter,-116931.81369397457
2023-04,Education,-2231.0537808204317
2023-04,Food,-60449.77806130042
2023-04,Recreation,-57663.856818355416
2023-04,Wage,940932.1672449121
2023-05,Shelter,-116931.81369397457
2023-05,Education,-2231.0537808204317
2023-05,Food,-48432.73687145786
2023-05,Recreation,-44059.18215925604
2023-05,Wage,842614.3967480339
