month,category,total_amount
2022-03,Wage,2569933.62114105
2022-03,Shelter,-525291.7247907955
2022-03,Education,-16149.02887362033
2022-03,RentAdjustment,7849.573748970007
2022-03,Food,-158031.20488782082
2022-03,Recreation,-309220.1437851821
2022-04,Shelter,-260258.56580613292
2022-04,Education,-6188.511367490588
2022-04,Food,-144494.56980974402
2022-04,Recreation,-188359.52983578673
2022-04,Wage,1249422.3299743994
2022-04,RentAdjustment,1429.2443503313718
2022-05,Shelter,-258790.7048053666
2022-05,Education,-6188.511367490588
2022-05,Food,-149215.12005766507
2022-05,Recreation,-163392.28657125897
2022-05,Wage,1302892.360317917
2022-06,Shelter,-258790.7048053666
2022-06,Education,-6188.511367490588
2022-06,Food,-144107.04082038443
2022-06,Recreation,-150401.72725160545
2022-06,Wage,1294399.5613184206
2022-07,Shelter,-258790.7048053666
2022-07,Education,-6188.511367490588
2022-07,Food,-149062.0402550064
2022-07,Recreation,-161405.73613829433
2022-07,Wage,1258406.2958598186
2022-08,Shelter,-258790.7048053666
2022-08,Education,-6188.511367490588
2022-08,Food,-148723.04153380226
2022-08,Recreation,-151901.15807111416
2022-08,Wage,1348597.846726386
2022-09,Shelter,-258790.7048053666
2022-09,Education,-6188.511367490588
2022-09,Food,-144092.319476359
2022-09,Recreation,-147112.88884161075
2022-09,Wage,1296532.5143356458
2022-10,Shelter,-258790.7048053666
2022-10,Education,-6188.511367490588
2022-10,Food,-149055.53441415375
2022-10,Recreation,-159541.81965583036
2022-10,Wage,1256354.512471238
2022-11,Shelter,-258790.7048053666
2022-11,Education,-6188.511367490588
2022-11,Food,-144027.55325550365
2022-11,Recreation,-142172.70952135255
2022-11,Wage,1294001.0149684248
2022-12,Shelter,-258790.7048053666
2022-12,Education,-6188.511367490588
2022-12,Food,-149091.06915010285
2022-12,Recreation,-155434.99904107978
2022-12,Wage,1305891.5920695795
2023-01,Shelter,-258790.7048053666
2023-01,Education,-6188.511367490588
2023-01,Food,-148829.4057494252
2023-01,Recreation,-151963.82585989256
2023-01,Wage,1302887.8932558016
2023-02,Shelter,-258790.7048053666
2023-02,Education,-6188.511367490588
2023-02,Food,-134289.91369003808
2023-02,Recreation,-135715.10438704412
2023-02,Wage,1183667.7716151047
2023-03,Shelter,-258790.7048053666
2023-03,Education,-6188.511367490588
2023-03,Food,-148798.9989444482
2023-03,Recreation,-146768.04552308578
2023-03,Wage,1351026.0314322198
2023-04,Shelter,-258790.7048053666
2023-04,Education,-6188.511367490588
2023-04,Food,-144488.43901668608
2023-04,Recreation,-151607.40096131654
2023-04,Wage,1201775.861453217
2023-05,Shelter,-258790.7048053666
2023-05,Education,-6188.511367490588
2023-05,Food,-115168.16382987643
2023-05,Recreation,-108153.38366994633
2023-05,Wage,1052680.6771077751
