month,category,total_amount
2022-03,Wage,332916.8106571233
2022-03,Shelter,-63658.84914420765
2022-03,Education,-3340.620176269597
2022-03,RentAdjustment,2949.002118739772
2022-03,Food,-21167.41720711449
2022-03,Recreation,-38830.907086662
2022-04,Shelter,-30320.859927911464
2022-04,Education,-625.9104510883518
2022-04,Food,-18556.51594036594
2022-04,Recreation,-23807.79305802599
2022-04,Wage,140093.81231361677
2022-05,Shelter,-30320.859927911464
2022-05,Education,-625.9104510883518
2022-05,Food,-19233.53504562643
2022-05,Recreation,-20448.16987265069
2022-05,Wage,145795.5071972587
2022-06,Shelter,-30320.859927911464
2022-06,Education,-625.9104510883518
2022-06,Food,-18526.56062135221
2022-06,Recreation,-21732.622115847324
2022-06,Wage,143514.38240775876
2022-07,Shelter,-30320.859927911464
2022-07,Education,-625.9104510883518
2022-07,Food,-19193.836833444417
2022-07,Recreation,-20800.797007519424
2022-07,Wage,142208.66107189172
2022-08,Shelter,-30320.859927911464
2022-08,Education,-625.9104510883518
2022-08,Food,-19123.806562073307
2022-08,Recreation,-19786.0786312071
2022-08,Wage,149858.95745261796
2022-09,Shelter,-30320.859927911464
2022-09,Education,-625.9104510883518
2022-09,Food,-18514.32242826387
2022-09,Recreation,-20985.253305110135
2022-09,Wage,143275.08597018803
2022-10,Shelter,-30320.859927911464
2022-10,Education,-625.9104510883518
2022-10,Food,-19209.162176110778
2022-10,Recreation,-20335.289580524364
2022-10,Wage,142106.7810177705
2022-11,Shelter,-30320.859927911464
2022-11,Education,-625.9104510883518
2022-11,Food,-18572.123515889718
2022-11,Recreation,-18567.152083246834
2022-11,Wage,144152.04996911032
2022-12,Shelter,-30320.859927911464
2022-12,Education,-625.9104510883518
2022-12,Food,-19135.741457591143
2022-12,Recreation,-20478.48174099283
2022-12,Wage,145528.22313115347
2023-01,Shelter,-30320.859927911464
2023-01,Education,-625.9104510883518
2023-01,Food,-19129.969146774947
2023-01,Recreation,-18955.207859909326
2023-01,Wage,145796.38325279418
2023-02,Shelter,-30320.859927911464
2023-02,Education,-625.9104510883518
2023-02,Food,-17283.92606558504
2023-02,Recreation,-16583.25971136255
2023-02,Wage,132165.47870899274
2023-03,Shelter,-30320.859927911464
2023-03,Education,-625.9104510883518
2023-03,Food,-19151.224983597425
2023-03,Recreation,-18765.364559166883
2023-03,Wage,149322.33661205426
2023-04,Shelter,-30320.859927911464
2023-04,Education,-625.9104510883518
2023-04,Food,-18593.053982844125
2023-04,Recreation,-20288.14068586445
2023-04,Wage,136400.70686759622
2023-05,Shelter,-30320.859927911464
2023-05,Education,-625.9104510883518
2023-05,Food,-14842.793714076233
2023-05,Recreation,-15816.415453562598
2023-05,Wage,116816.34845592064
